time,city_name,source_type,temperature_avg,temperature_min,temperature_max,precipitation_total,humidity_avg,wind_speed_avg,wind_speed_max,observation_count,temperature_avg_3d_rolling,precipitation_3d_rolling
2026-09-15,Исходная локация,open-meteo,13.81,10.8,16.5,0.0,66.29,5.98,10.4,24,13.81,0.0
2026-09-16,Исходная локация,open-meteo,14.03,11.8,17.0,0.1,78.0,12.69,18.0,24,13.92,0.1
2026-09-17,Исходная локация,open-meteo,15.38,13.3,18.1,3.75,81.71,15.27,19.4,24,14.41,3.85
2026-09-18,Исходная локация,open-meteo,13.73,11.1,16.7,0.9,79.88,14.65,18.4,24,14.38,4.75
2026-09-19,Исходная локация,open-meteo,14.79,12.7,17.5,2.1,74.04,16.6,23.7,24,14.63,6.75
2026-09-20,Исходная локация,open-meteo,14.77,11.7,18.6,0.2,76.04,15.04,18.9,24,14.43,3.2
2026-09-21,Исходная локация,open-meteo,14.05,10.2,17.3,3.4,81.42,11.78,17.5,24,14.54,5.7
